id|fullname|Nation_team|Batting|Bowling
1|Ravinder Singh Bopara|England|Right-hand bat|Right-arm medium
2|Stuart Christopher John Broad|England|Left-hand bat|Right-arm fast-medium
5|Michael Alexander Carberry|England|Left-hand bat|Right-arm offbreak
8|Paul David Collingwood|England|Right-hand bat|Right-arm medium
19|Alastair Nathan Cook|England|Left-hand bat|Right-arm slow
25|James William Murray Dalrymple|England|Right-hand bat|Right-arm offbreak
26|Steven Michael Davies|England|Left-hand bat|none
27|Joseph Liam Denly|England|Right-hand bat|Legbreak
28|Jade Winston Dernbach|England|Right-hand bat|Right-arm fast-medium
38|Andrew Flintoff|England|Right-hand bat|Right-arm fast-medium
39|James Savin Foster|England|Right-hand bat|none
54|Gavin Mark Hamilton|Scotland|Left-hand bat|Right-arm medium-fast
56|Stephen James Harmison|England|Right-hand bat|Right-arm fast-medium
60|David Lloyd Hemp|Bermuda|Left-hand bat|Right-arm medium
75|Geraint Owen Jones|England|Right-hand bat|none
79|Robert William Trevor Key|England|Right-hand bat|Right-arm offbreak
80|Robert James Kirtley|England|Right-hand bat|Right-arm fast-medium
89|Jonathan Lewis|England|Right-hand bat|Right-arm medium
98|Michael John Lumb|England|Left-hand bat|Right-arm medium
99|Darren Lee Maddy|England|Right-hand bat|Right-arm medium
103|Adrian Dimitri Mascarenhas|England|Right-hand bat|Right-arm fast-medium
110|Timothy James Murtagh|Ireland|Left-hand bat|Right-arm fast-medium
111|Philip Mustard|England|Left-hand bat|Legbreak
112|Sajid Iqbal Mahmood|England|Right-hand bat|Right-arm fast-medium
113|Paul Andrew Nixon|England|Left-hand bat|none
115|Graham Onions|England|Right-hand bat|Right-arm medium-fast
118|Samit Rohit Patel|England|Right-hand bat|Slow left-arm orthodox
119|Mudhsuden Singh Panesar|England|Left-hand bat|Slow left-arm orthodox
120|Matthew James Prior|England|Right-hand bat|none
121|Liam Edward Plunkett|England|Right-hand bat|Right-arm fast
122|Navdeep Singh Poonia|Scotland|Right-hand bat|Right-arm medium-fast
123|Kevin Peter Pietersen|England|Right-hand bat|Right-arm offbreak
